orderNumber,orderDate,customerNumber,revenue
10100,2003-01-06,363,10223.83
10101,2003-01-09,128,10549.01
10102,2003-01-10,181,5494.78
10103,2003-01-29,121,50218.95
10104,2003-01-31,141,40206.20
10105,2003-02-11,145,53959.21
10106,2003-02-17,278,52151.81
10107,2003-02-24,131,22292.62
10108,2003-03-03,385,51001.22
10109,2003-03-10,486,25833.14
10110,2003-03-18,187,48425.69
10111,2003-03-25,129,16537.85
10112,2003-03-24,144,7674.94
10113,2003-03-26,124,11044.30
10114,2003-04-01,172,33383.14
10115,2003-04-04,424,21665.98
10116,2003-04-11,381,1627.56
10117,2003-04-16,148,44380.15
10118,2003-04-21,216,3101.40
10119,2003-04-28,382,35826.33
10120,2003-04-29,114,45864.03
10121,2003-05-07,353,16700.47
10122,2003-05-08,350,50824.66
10123,2003-05-20,103,14571.44
10124,2003-05-21,112,32641.98
10125,2003-05-21,114,7565.08
10126,2003-05-28,458,57131.92
10127,2003-06-03,151,58841.35
10128,2003-06-06,141,13884.99
10129,2003-06-12,324,29429.14
10130,2003-06-16,198,6036.96
10131,2003-06-16,447,17032.29
10132,2003-06-25,323,2880.00
10133,2003-06-27,141,22366.04
10134,2003-07-01,250,23419.47
10135,2003-07-02,124,55601.84
10136,2003-07-04,242,14232.70
10137,2003-07-10,353,13920.26
10138,2003-07-07,496,32077.44
10139,2003-07-16,282,24013.52
10140,2003-07-24,161,38675.13
10141,2003-08-01,334,29716.86
10142,2003-08-08,124,56052.56
10143,2003-08-10,320,41016.75
10144,2003-08-13,381,1128.20
10145,2003-08-25,205,50342.74
10146,2003-09-03,447,6631.36
10147,2003-09-05,379,32680.31
10148,2003-09-11,276,41554.73
10149,2003-09-12,487,29997.09
10150,2003-09-19,148,38350.15
10151,2003-09-21,311,32723.04
10152,2003-09-25,333,9821.32
10153,2003-09-28,141,44939.85
10154,2003-10-02,219,4465.85
10155,2003-10-06,186,37602.48
10156,2003-10-08,141,4599.52
10157,2003-10-09,473,17746.26
10158,2003-10-10,121,1491.38
10159,2003-10-10,321,54682.68
10160,2003-10-11,347,20452.50
10161,2003-10-17,227,36164.46
10162,2003-10-18,321,30876.44
10163,2003-10-20,424,22042.37
10164,2003-10-21,452,27121.90
10165,2003-10-22,148,67392.85
10166,2003-10-21,462,9977.85
10167,2003-10-23,448,44167.09
10168,2003-10-28,161,50743.65
10169,2003-11-04,276,38547.19
10170,2003-11-04,452,15130.97
10171,2003-11-05,233,16909.84
10172,2003-11-05,175,24879.08
10173,2003-11-05,278,37723.79
10174,2003-11-06,333,23936.53
10175,2003-11-06,324,37455.77
10176,2003-11-06,386,38524.29
10177,2003-11-07,344,31428.21
10178,2003-11-08,242,33818.34
10179,2003-11-11,496,22963.60
10180,2003-11-11,171,42783.81
10181,2003-11-12,167,55069.55
10182,2003-11-12,124,45084.38
10183,2003-11-13,339,34606.28
10184,2003-11-14,484,47513.19
10185,2003-11-14,320,52548.49
10186,2003-11-14,489,22275.73
10187,2003-11-15,211,28287.73
10188,2003-11-18,167,29954.91
10189,2003-11-18,205,3879.96
10190,2003-11-19,141,10721.86
10191,2003-11-20,259,27988.47
10192,2003-11-20,363,55425.77
10193,2003-11-21,471,35505.63
